project_type,client_industry,estimated_timeline_months,team_allocation,complexity_score,revision_count,final_billed_amount
Business Intelligence Dashboard,Finance,3,9,2,2,2026981.13
Cybersecurity Implementation,Education,16,14,4,5,19763091.56
Cybersecurity Implementation,Education,12,7,4,2,6942068.88
Web Application,Healthcare,4,12,3,6,3764673.14
Business Intelligence Dashboard,Startup,1,7,4,7,500678.56
IoT System,Healthcare,4,12,3,2,4068337.19
CRM System,Healthcare,1,7,1,8,490566.87
ERP System,Startup,8,6,2,0,3125485.82
Mobile Application,Finance,5,9,3,2,3716904.41
Cybersecurity Implementation,Education,2,14,2,2,1967927.27
AI/ML Solution,Healthcare,12,3,5,6,3799800.73
ERP System,Startup,17,8,1,10,7204424.29
Blockchain Solution,Retail,7,5,5,10,3717575.52
Cloud Migration,Healthcare,11,2,5,4,2104703.29
Business Intelligence Dashboard,Education,4,14,4,3,4496024.66
Data Engineering Pipeline,Finance,5,6,4,1,2980793.41
Mobile Application,Healthcare,6,4,5,6,2253195.59
AI/ML Solution,Healthcare,11,5,4,2,4426410.14
ERP System,Startup,1,8,2,6,462020.54
Business Intelligence Dashboard,Retail,10,6,4,9,4586094.73
Web Application,Retail,11,15,5,6,11217207.13
Cloud Migration,Finance,17,5,4,10,8404941.65
Mobile Application,Education,8,2,4,1,1133984.5
CRM System,Finance,13,7,3,6,8060274.59
Legacy System Modernization,Healthcare,18,12,3,5,17532659.68
Web Application,Healthcare,16,11,5,9,13635197.56
AI/ML Solution,Retail,2,7,2,3,940680.43
Blockchain Solution,Education,5,8,1,10,2738778.06
Mobile Application,Startup,18,2,1,4,1983594.96
Web Application,Education,3,15,5,7,3402648.02
Cloud Migration,Healthcare,17,5,2,4,7172691.86
CRM System,Startup,16,13,2,2,11320645.57
Web Application,Education,6,10,2,1,3842314.88
DevOps Automation,Education,7,13,3,5,6590138.6
CRM System,Startup,18,15,5,5,19963736.34
Legacy System Modernization,Healthcare,14,11,1,6,8264722.5
AI/ML Solution,Education,6,7,2,7,3010623.11
Blockchain Solution,Startup,8,3,5,3,2009249.44
Cloud Migration,Healthcare,15,5,1,7,4754399.11
IoT System,Startup,15,7,3,0,7125079.87
Business Intelligence Dashboard,Startup,15,5,4,5,5158311.72
Data Engineering Pipeline,Education,16,11,1,5,11357367.61
SaaS Product,Healthcare,1,8,1,2,591561.0
E-commerce Platform,Education,11,13,1,8,8378939.03
E-commerce Platform,Finance,5,14,4,4,5820065.98
Data Engineering Pipeline,Finance,5,4,2,0,1427810.93
SaaS Product,Healthcare,6,7,4,6,4046992.35
Data Engineering Pipeline,Startup,2,14,1,9,1689295.19
Mobile Application,Education,6,13,3,2,5017283.02
AI/ML Solution,Education,14,5,1,9,4937552.04
Cloud Migration,Healthcare,11,4,3,9,3600840.26
CRM System,Healthcare,4,13,5,10,4826024.9
Mobile Application,Finance,9,4,3,3,2641928.44
AI/ML Solution,Retail,3,15,1,5,2445110.1
Business Intelligence Dashboard,Healthcare,16,3,4,7,3624724.6
DevOps Automation,Retail,11,12,1,3,7772167.78
E-commerce Platform,Healthcare,4,4,1,8,1091112.9
Cloud Migration,Startup,1,14,5,7,1156305.05
Data Engineering Pipeline,Startup,16,13,2,9,12934743.41
Web Application,Finance,16,15,1,9,16085534.73
IoT System,Finance,11,11,5,5,12561125.27
Cloud Migration,Retail,8,2,4,6,1269184.76
Cybersecurity Implementation,Healthcare,1,4,5,7,403404.56
Blockchain Solution,Education,9,10,5,1,13498030.82
SaaS Product,Finance,12,5,3,4,4337284.2
AI/ML Solution,Education,8,4,2,6,2382509.57
ERP System,Education,17,9,2,7,8961126.67
Business Intelligence Dashboard,Healthcare,10,2,4,4,1758641.08
DevOps Automation,Retail,7,6,5,2,3284763.19
Business Intelligence Dashboard,Healthcare,6,2,4,5,962721.38
Cloud Migration,Finance,18,8,4,4,11643397.83
E-commerce Platform,Education,15,6,2,7,6006064.09
SaaS Product,Healthcare,2,3,2,8,442913.69
ERP System,Healthcare,14,13,2,8,14842270.05
Cybersecurity Implementation,Healthcare,10,15,1,5,11301946.56
CRM System,Finance,16,2,5,3,2928808.59
Web Application,Retail,7,12,4,3,6173016.17
ERP System,Healthcare,8,8,5,8,6180582.52
AI/ML Solution,Finance,10,13,4,3,12524595.26
Data Engineering Pipeline,Education,15,2,4,7,2409740.5
Cybersecurity Implementation,Startup,8,4,4,8,2533067.79
Web Application,Finance,13,12,4,4,12529667.14
IoT System,Startup,12,7,3,5,5441112.82
DevOps Automation,Healthcare,8,7,3,2,3623618.76
Data Engineering Pipeline,Healthcare,15,8,1,4,8479295.41
Cloud Migration,Finance,12,12,2,4,12220295.04
ERP System,Startup,11,15,4,1,11931118.74
E-commerce Platform,Healthcare,14,12,5,9,16714390.41
Web Application,Education,18,2,3,5,2430833.57
Blockchain Solution,Retail,13,8,2,8,7846561.44
Mobile Application,Retail,4,3,1,10,808313.81
Blockchain Solution,Healthcare,17,7,2,6,10424207.87
CRM System,Startup,9,14,4,7,9318839.37
Blockchain Solution,Healthcare,7,9,2,1,4808285.2
IoT System,Startup,1,14,4,10,1068433.44
CRM System,Education,7,6,3,8,3112857.86
Cybersecurity Implementation,Startup,7,11,3,2,5012778.01
DevOps Automation,Healthcare,7,4,4,9,2588901.09
Cybersecurity Implementation,Education,8,12,5,4,8227624.98
Mobile Application,Finance,16,9,3,6,11145284.94
AI/ML Solution,Retail,3,9,5,3,2470350.68
DevOps Automation,Healthcare,13,5,4,6,5364222.77
Blockchain Solution,Healthcare,10,9,4,7,8785182.7
E-commerce Platform,Healthcare,18,6,3,9,7945339.62
Business Intelligence Dashboard,Education,7,14,5,9,7890333.94
AI/ML Solution,Finance,5,12,4,3,5738133.4
DevOps Automation,Startup,7,6,3,4,2995714.29
DevOps Automation,Finance,17,4,4,10,5725897.1
Mobile Application,Education,4,8,2,2,2135805.55
Cloud Migration,Healthcare,16,12,2,4,15043868.82
Blockchain Solution,Retail,10,15,3,7,12760701.59
Mobile Application,Healthcare,3,12,4,2,3068227.18
DevOps Automation,Startup,3,10,3,4,1637632.68
Web Application,Retail,17,10,1,9,10388632.72
AI/ML Solution,Healthcare,10,2,3,0,1801872.41
Mobile Application,Retail,17,2,3,1,2083225.56
Cloud Migration,Finance,17,11,2,2,14483204.81
SaaS Product,Education,4,13,2,0,2804851.75
ERP System,Healthcare,6,13,4,10,7780765.22
Cybersecurity Implementation,Startup,12,12,3,10,11433625.74
DevOps Automation,Finance,17,6,3,8,8511063.73
Blockchain Solution,Healthcare,17,2,4,8,3522107.42
Business Intelligence Dashboard,Finance,10,5,5,4,4470026.74
ERP System,Startup,7,13,4,3,6993072.97
CRM System,Healthcare,16,2,2,4,2497765.55
E-commerce Platform,Startup,13,3,2,3,2343362.33
E-commerce Platform,Retail,3,3,3,4,1061866.17
Legacy System Modernization,Startup,2,5,2,6,545626.49
Legacy System Modernization,Retail,16,9,4,10,11419643.0
Data Engineering Pipeline,Healthcare,6,3,3,7,1413674.89
Cloud Migration,Retail,6,15,4,1,7249219.57
Business Intelligence Dashboard,Healthcare,13,10,4,3,10488320.77
SaaS Product,Healthcare,7,13,3,7,7661746.15
SaaS Product,Education,5,10,5,6,3985025.74
Data Engineering Pipeline,Healthcare,7,3,2,8,1416157.86
Cloud Migration,Retail,2,2,1,4,273702.53
Blockchain Solution,Education,17,11,1,5,11913042.88
Web Application,Education,13,11,1,10,8193380.87
Blockchain Solution,Healthcare,16,10,2,7,14130055.31
Cybersecurity Implementation,Startup,2,3,5,10,437741.02
ERP System,Startup,5,9,4,4,2971928.6
AI/ML Solution,Education,18,15,3,8,35103178.1
SaaS Product,Healthcare,7,4,5,3,2690366.61
E-commerce Platform,Startup,11,2,1,7,1214289.56
Cloud Migration,Healthcare,11,12,2,2,9530020.56
Blockchain Solution,Healthcare,17,2,2,4,2896271.08
AI/ML Solution,Education,16,11,3,7,14463866.67
Cybersecurity Implementation,Education,13,3,4,9,3057569.6
DevOps Automation,Finance,5,8,5,6,4053687.03
CRM System,Startup,16,13,5,0,15329583.8
ERP System,Startup,16,7,5,3,9490379.72
Cybersecurity Implementation,Startup,16,13,4,1,15045604.13
Cybersecurity Implementation,Retail,14,12,4,1,14392442.08
Blockchain Solution,Healthcare,6,3,4,6,1849560.99
Web Application,Education,2,5,3,2,612737.86
Data Engineering Pipeline,Startup,14,3,2,2,2517674.27
SaaS Product,Finance,16,2,1,5,2456769.9
CRM System,Startup,13,13,4,5,10738749.57
ERP System,Healthcare,15,4,2,0,4449705.46
DevOps Automation,Healthcare,12,5,4,0,4432615.64
DevOps Automation,Education,9,11,1,10,5308760.86
Mobile Application,Retail,18,6,4,5,8155841.83
Cybersecurity Implementation,Education,14,6,2,6,5816554.52
Cloud Migration,Startup,4,8,3,8,1755902.57
Web Application,Finance,8,15,1,3,8126286.17
CRM System,Education,8,11,2,9,6068173.75
Blockchain Solution,Retail,16,9,5,5,14931255.64
DevOps Automation,Education,10,10,5,2,7095262.58
ERP System,Healthcare,17,13,5,10,23153684.95
Mobile Application,Startup,1,8,3,3,520977.24
E-commerce Platform,Startup,18,6,4,8,7083654.7
SaaS Product,Startup,10,10,4,0,7334296.47
ERP System,Startup,4,9,4,4,2729434.73
Web Application,Startup,1,11,3,10,660648.02
Cloud Migration,Startup,4,10,5,6,3159124.4
Mobile Application,Finance,4,11,4,2,3938631.29
E-commerce Platform,Retail,4,9,3,1,2404707.89
Mobile Application,Startup,17,7,3,10,8188687.32
Data Engineering Pipeline,Retail,9,5,2,1,2953078.63
CRM System,Startup,13,10,4,0,8311184.84
Mobile Application,Education,4,13,5,4,4294047.52
IoT System,Startup,5,10,1,2,2570743.74
Data Engineering Pipeline,Healthcare,13,11,3,10,13198664.2
Data Engineering Pipeline,Finance,16,11,2,6,14166284.71
Web Application,Education,5,10,1,0,2688604.16
IoT System,Education,8,15,3,8,8578154.11
AI/ML Solution,Healthcare,16,11,2,1,14222888.43
ERP System,Startup,1,4,4,7,312106.15
SaaS Product,Finance,6,12,2,9,5933712.44
Cloud Migration,Education,11,13,3,3,9595233.12
Business Intelligence Dashboard,Finance,16,4,4,5,5812619.16
ERP System,Education,5,12,5,8,4993870.65
Mobile Application,Startup,16,7,2,6,6916234.65
Cloud Migration,Education,7,7,1,7,2876423.26
DevOps Automation,Education,1,14,4,6,997439.35
AI/ML Solution,Retail,9,14,4,1,11234343.52
DevOps Automation,Startup,18,7,5,8,9940068.11
IoT System,Healthcare,13,6,2,0,5615925.56
Legacy System Modernization,Healthcare,15,15,1,1,15013207.07
DevOps Automation,Startup,3,6,5,2,1123808.15
Blockchain Solution,Healthcare,10,3,2,2,2564415.23
CRM System,Startup,9,15,1,9,8243192.04
ERP System,Healthcare,13,8,1,3,7558225.71
Business Intelligence Dashboard,Retail,16,13,3,4,14909029.26
Blockchain Solution,Healthcare,3,5,1,5,1144055.04
Legacy System Modernization,Education,15,15,2,0,13986376.73
Web Application,Startup,17,4,5,7,4910273.25
Business Intelligence Dashboard,Finance,14,9,5,5,11184378.92
DevOps Automation,Finance,7,5,3,9,2865519.32
Mobile Application,Startup,16,12,2,8,11767861.11
E-commerce Platform,Retail,8,5,1,4,2155498.19
AI/ML Solution,Healthcare,4,9,3,6,3037510.28
SaaS Product,Retail,15,2,4,10,2555066.94
Cybersecurity Implementation,Finance,5,10,2,3,3947265.24
Business Intelligence Dashboard,Startup,13,15,3,5,13068849.42
SaaS Product,Startup,6,8,5,5,3937868.84
SaaS Product,Retail,5,13,3,3,4857575.34
DevOps Automation,Retail,17,3,4,5,3797989.37
AI/ML Solution,Healthcare,7,12,2,7,7614830.94
Cloud Migration,Education,6,13,3,10,5947931.65
ERP System,Education,2,7,1,4,873606.98
SaaS Product,Healthcare,11,9,2,1,7470003.44
Data Engineering Pipeline,Education,7,12,3,8,6266533.8
Legacy System Modernization,Finance,8,6,3,10,4490088.83
CRM System,Education,5,7,2,3,2395516.03
AI/ML Solution,Healthcare,18,13,5,3,38699952.25
Mobile Application,Education,16,11,1,10,10694266.06
IoT System,Startup,14,9,2,6,8129090.58
Mobile Application,Retail,12,14,1,9,11574198.28
AI/ML Solution,Finance,17,7,1,9,9376632.75
Mobile Application,Startup,5,13,2,5,3899323.33
SaaS Product,Startup,14,10,3,3,15800993.68
ERP System,Healthcare,6,13,5,5,8111590.98
Mobile Application,Retail,15,10,1,2,14995640.35
Business Intelligence Dashboard,Retail,7,10,1,6,3615971.12
Data Engineering Pipeline,Finance,14,7,3,5,8815282.54
Mobile Application,Healthcare,18,13,2,2,13809660.54
Data Engineering Pipeline,Finance,1,13,5,0,1221494.11
E-commerce Platform,Education,6,10,1,9,3603875.64
DevOps Automation,Startup,3,4,1,4,634092.42
Web Application,Finance,5,6,2,9,2191586.92
ERP System,Startup,12,3,3,1,2069372.1
Legacy System Modernization,Healthcare,11,13,4,6,13773680.68
SaaS Product,Education,13,14,3,6,14339008.31
Web Application,Healthcare,16,14,1,3,13763134.49
SaaS Product,Education,18,9,1,5,8770147.44
DevOps Automation,Education,17,12,5,0,12957727.41
SaaS Product,Startup,17,14,3,1,13982695.11
E-commerce Platform,Healthcare,11,5,4,5,4376796.83
ERP System,Healthcare,10,7,5,1,5980447.77
AI/ML Solution,Finance,16,7,4,10,12336151.98
AI/ML Solution,Healthcare,2,6,5,3,1244802.36
Data Engineering Pipeline,Finance,17,13,3,3,18812326.66
DevOps Automation,Retail,10,13,1,9,7813059.56
Data Engineering Pipeline,Retail,13,2,4,8,2280716.52
E-commerce Platform,Retail,12,12,3,9,11045879.45
CRM System,Healthcare,15,8,4,6,10671660.29
Mobile Application,Healthcare,7,11,3,6,5951801.89
Cybersecurity Implementation,Finance,13,9,5,10,12198847.5
CRM System,Education,12,2,3,0,1686761.94
Mobile Application,Finance,12,11,5,10,11288688.55
ERP System,Retail,2,8,1,4,1038387.36
Data Engineering Pipeline,Finance,5,5,5,2,1930364.55
Legacy System Modernization,Education,2,7,2,2,816631.73
ERP System,Healthcare,13,10,1,5,14532270.59
E-commerce Platform,Finance,3,6,3,3,1524808.43
Blockchain Solution,Retail,11,9,3,7,8750147.57
Blockchain Solution,Retail,16,6,2,3,7318380.58
Blockchain Solution,Healthcare,1,3,3,7,258275.56
E-commerce Platform,Finance,11,5,1,3,3919138.54
Legacy System Modernization,Education,9,15,1,2,6793285.73
SaaS Product,Healthcare,14,3,5,4,3994738.62
ERP System,Finance,9,8,4,4,6513118.86
Mobile Application,Startup,7,8,3,9,6819566.5
E-commerce Platform,Retail,16,15,2,9,17053708.75
Blockchain Solution,Education,3,4,1,0,801252.4
Legacy System Modernization,Education,4,15,1,7,3650324.69
DevOps Automation,Education,7,14,1,7,6564196.26
E-commerce Platform,Retail,12,8,4,7,7672975.62
IoT System,Finance,18,2,4,9,3936664.3
SaaS Product,Healthcare,5,2,3,3,782462.7
Mobile Application,Finance,10,10,2,8,8160403.65
Blockchain Solution,Healthcare,12,7,4,9,9690737.72
Cloud Migration,Education,8,14,5,2,9174726.05
AI/ML Solution,Finance,15,15,4,6,21022638.41
Legacy System Modernization,Education,1,13,1,5,772034.24
AI/ML Solution,Startup,3,6,2,8,1255904.86
CRM System,Education,18,14,3,3,18665658.51
AI/ML Solution,Education,18,7,4,3,10298718.53
Mobile Application,Healthcare,2,7,1,5,1040770.69
Business Intelligence Dashboard,Startup,5,2,5,7,638437.9
Data Engineering Pipeline,Education,1,6,5,2,512146.63
Mobile Application,Education,10,10,3,10,6897112.36
SaaS Product,Startup,10,5,3,7,3300881.14
IoT System,Startup,5,4,4,7,1482914.6
Mobile Application,Finance,18,2,3,6,2827312.85
E-commerce Platform,Healthcare,15,15,1,6,25606611.0
Legacy System Modernization,Startup,8,3,1,4,1264838.77
Cybersecurity Implementation,Startup,17,4,1,1,3666167.08
Legacy System Modernization,Retail,12,5,4,1,4391063.62
Data Engineering Pipeline,Startup,12,8,4,9,7692176.22
Cloud Migration,Healthcare,1,7,3,7,614499.75
AI/ML Solution,Education,4,12,4,10,4503835.45
Data Engineering Pipeline,Education,8,9,1,5,4285809.92
AI/ML Solution,Education,1,15,2,7,1213622.42
CRM System,Education,15,10,1,2,9273450.63
Data Engineering Pipeline,Retail,18,7,2,0,7876709.09
Blockchain Solution,Startup,1,8,3,5,1063406.07
SaaS Product,Education,11,5,5,1,4476047.44
SaaS Product,Finance,2,3,4,8,576458.48
AI/ML Solution,Education,1,10,4,4,1387986.71
Cloud Migration,Startup,12,10,1,4,6590201.68
Blockchain Solution,Education,16,5,1,9,5953949.66
Web Application,Retail,10,13,2,7,6962193.46
ERP System,Healthcare,18,4,4,5,6591387.4
ERP System,Healthcare,15,11,3,2,14464913.98
Cloud Migration,Startup,17,15,1,8,16676327.45
Cybersecurity Implementation,Healthcare,10,12,4,9,11441245.06
Web Application,Healthcare,3,7,5,3,1714326.17
CRM System,Finance,16,15,2,9,20987045.72
Cloud Migration,Startup,6,15,1,3,5113119.66
Blockchain Solution,Startup,3,4,1,1,767208.2
ERP System,Healthcare,9,2,3,2,1522817.29
E-commerce Platform,Healthcare,11,5,1,3,3689458.34
ERP System,Healthcare,13,2,4,6,2517110.85
ERP System,Retail,18,3,4,2,4392984.0
Blockchain Solution,Education,4,4,4,7,1272919.95
DevOps Automation,Retail,8,9,5,7,6384432.42
Cloud Migration,Startup,13,11,5,9,11698920.34
Mobile Application,Finance,10,5,1,10,3598597.12
Legacy System Modernization,Education,2,5,5,1,747140.86
CRM System,Finance,8,14,5,3,9690964.72
ERP System,Startup,6,11,3,7,4944605.4
Legacy System Modernization,Startup,16,10,5,0,11681326.71
SaaS Product,Finance,18,8,2,0,10307308.36
E-commerce Platform,Finance,17,3,2,3,3428014.45
AI/ML Solution,Finance,6,4,2,10,3534425.84
Cloud Migration,Startup,13,5,1,1,3628557.92
IoT System,Healthcare,14,5,4,0,6481396.4
Blockchain Solution,Finance,10,11,3,7,11640710.76
DevOps Automation,Education,11,9,1,1,8867670.96
SaaS Product,Startup,13,11,4,3,9632046.7
Cloud Migration,Retail,12,15,3,2,21277759.26
CRM System,Retail,9,11,3,1,8035084.63
E-commerce Platform,Education,4,7,3,7,2139922.05
DevOps Automation,Healthcare,7,4,2,2,2029594.04
CRM System,Finance,2,12,2,8,1924872.25
SaaS Product,Startup,7,10,2,9,4563751.99
Cloud Migration,Finance,9,11,3,4,7867588.23
Mobile Application,Startup,5,9,3,8,3079214.43
SaaS Product,Retail,15,10,2,2,9967794.63
IoT System,Finance,18,6,3,4,10347974.06
CRM System,Education,4,4,2,9,995657.93
DevOps Automation,Healthcare,7,5,2,5,2428454.05
DevOps Automation,Education,8,15,2,8,7525226.77
Legacy System Modernization,Healthcare,17,14,4,7,21988091.81
CRM System,Finance,13,13,3,1,13736852.53
Business Intelligence Dashboard,Finance,11,6,1,1,3827281.34
Cloud Migration,Healthcare,1,10,2,4,730289.22
Business Intelligence Dashboard,Retail,2,10,1,4,1119600.12
Cybersecurity Implementation,Startup,17,15,4,4,19585002.34
Cloud Migration,Education,5,4,3,3,1430513.51
CRM System,Education,6,8,2,7,3405695.36
Web Application,Education,7,7,2,10,3064161.38
E-commerce Platform,Finance,15,5,2,4,5497798.37
CRM System,Education,16,6,1,0,5532888.27
Business Intelligence Dashboard,Startup,13,15,4,9,13948410.42
Mobile Application,Startup,5,11,3,4,3478608.32
E-commerce Platform,Healthcare,3,3,4,0,677011.3
CRM System,Finance,3,12,2,3,2333618.98
CRM System,Startup,14,8,4,0,8274492.99
Mobile Application,Retail,16,15,1,5,14495650.33
CRM System,Finance,17,5,5,5,7784084.26
E-commerce Platform,Finance,4,3,5,0,1136661.63
ERP System,Startup,13,12,3,7,9448562.32
Web Application,Retail,8,7,3,3,4095790.21
AI/ML Solution,Healthcare,5,12,4,1,5416269.58
Web Application,Startup,2,13,3,0,1425764.33
Blockchain Solution,Retail,15,3,1,10,3436496.23
IoT System,Finance,2,11,2,2,1451452.35
Legacy System Modernization,Retail,11,3,2,6,2215807.41
CRM System,Finance,13,8,4,9,9623378.43
ERP System,Startup,10,2,2,10,1379713.17
Cloud Migration,Startup,3,8,4,9,1902716.91
CRM System,Education,5,11,3,7,4189084.03
Business Intelligence Dashboard,Education,3,6,3,4,1112238.07
SaaS Product,Education,6,2,1,6,579597.81
ERP System,Startup,13,7,2,1,4995693.73
Mobile Application,Healthcare,10,8,1,3,5112887.02
ERP System,Startup,8,2,5,5,1303319.08
Blockchain Solution,Retail,18,10,1,4,12701275.66
Mobile Application,Startup,3,8,4,5,1697125.67
Cybersecurity Implementation,Startup,17,2,4,1,2592171.9
AI/ML Solution,Finance,8,4,1,6,2606011.48
Data Engineering Pipeline,Finance,10,6,3,7,5577266.79
E-commerce Platform,Finance,2,5,5,10,1003276.85
ERP System,Startup,12,3,1,8,2326499.5
E-commerce Platform,Healthcare,6,2,3,5,984433.32
DevOps Automation,Retail,2,5,1,6,638871.09
Business Intelligence Dashboard,Retail,3,8,2,0,1168551.04
CRM System,Healthcare,17,12,4,8,18841664.8
Business Intelligence Dashboard,Healthcare,7,5,2,5,2671940.93
E-commerce Platform,Retail,5,10,2,3,2590156.08
Web Application,Education,1,15,5,9,1309371.75
Data Engineering Pipeline,Finance,8,9,3,8,7001024.63
Web Application,Finance,12,9,4,0,12795342.26
Cybersecurity Implementation,Retail,14,6,2,1,5483508.52
Data Engineering Pipeline,Healthcare,16,13,4,2,18040304.88
Data Engineering Pipeline,Education,10,2,3,0,1219483.98
Web Application,Retail,15,10,1,1,7797818.19
Mobile Application,Finance,15,3,2,1,3411237.09
Blockchain Solution,Startup,10,7,3,6,9075606.94
E-commerce Platform,Healthcare,7,11,4,9,6704807.94
Web Application,Startup,3,15,3,5,2669660.36
